title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Father of the Bride",movie,"Comedy, Drama, Romance",2022,tt13249596,5.9,14112,
"Meet Me at Christmas",movie,"Drama, Romance",2020,tt13243610,6.4,1260,
"USS Christmas",movie,"Mystery, Romance",2020,tt13341592,6.6,1854,
"Project Christmas Wish",movie,"Drama, Family, Romance",2020,tt13342238,6.9,1738,
"Wild Card: The Downfall of a Radio Loudmouth",movie,"Documentary, Sport",2020,tt13085760,6.2,279,
"Asteroid City",movie,"Comedy, Drama, Romance",2023,tt14230388,6.4,132565,
"One Way",movie,"Action, Thriller",2022,tt13075730,4.1,2068,
"Mia Misses Her Revenge",movie,Drama,2020,tt12748350,5.6,360,
"537 Votes",movie,Documentary,2020,tt13128292,7.2,942,
"Vysehrad: Fylm",movie,"Comedy, Sport",2022,tt13086670,6.3,533,
"Cry Macho",movie,Drama,2021,tt1924245,5.7,35365,
"Peppa Pig: The Golden Boots",movie,"Animation, Short",2015,tt4373888,6,108,
"The Beta Test",movie,"Comedy, Drama, Mystery",2021,tt11738830,6.1,6920,
"Paper Spiders",movie,Drama,2020,tt9690328,6.6,1936,
"Wonderfully Beautiful",movie,"Comedy, Drama, Romance",2022,tt12194006,7,3222,
"The Lost City",movie,"Action, Adventure, Comedy",2022,tt13320622,6.1,170314,
"The Evil Next Door",movie,"Horror, Mystery, Thriller",2020,tt11320192,5.2,2821,
"Chelsea Handler: Evolution",movie,"Comedy, Documentary",2020,tt12736220,5.8,656,
"A West Wing Special to Benefit When We All Vote",movie,Drama,2020,tt13180026,8.5,1637,
"Joe Exotic Before He Was King",movie,Documentary,2020,,,,
"The Lost Lincoln",movie,"Documentary, History",2020,tt13182824,6.1,97,
"To Live or Die on Everest",movie,Documentary,2020,,,,
"1, 2, 3, All Eyes on Me",movie,"Drama, Short",2020,tt11724300,8.1,458,
"Don't Try to Understand: A Year in the Life of Earl 'DMX' Simmons",movie,"Documentary, Music",2021,tt11817822,6.5,590,
Shadows,movie,Short,2020,tt11197452,6.6,58,
"Burning Ojai: Our Fire Story",movie,Documentary,2020,tt13355988,6.4,110,
"The Monster at the End of This Story",movie,"Adventure, Animation, Family",2020,tt13309726,7.3,71,
"Son of Monarchs",movie,Drama,2020,tt8908432,6.1,380,
"The Pope's Exorcist",movie,"Horror, Thriller",2023,tt13375076,6.1,96608,
"Good Luck to You, Leo Grande",movie,"Comedy, Drama",2022,tt13352968,7.2,41740,
"Drive My Car",movie,Drama,2021,tt14039582,7.5,72584,
Anny,movie,Documentary,2020,tt13968260,6.5,75,
Calladita,movie,"Drama, Short",2020,tt10495722,6.1,160,
Banksters,movie,"Crime, Drama",2020,tt12869176,5.4,362,
Surrounded,movie,"Drama, Western",2023,tt2572212,6.2,2721,
Elyse,movie,Drama,2020,tt9098562,4.3,672,
"Hunter Hunter",movie,"Drama, Horror, Mystery",2020,tt2226162,6.4,14204,
"Área chica infierno grande",movie,"Comedy, Short",2020,tt11916808,7.3,11,"HN, NI, TT, US"
Living,movie,Drama,2022,tt9051908,7.2,37371,
X,movie,"Horror, Mystery, Thriller",2022,tt13560574,6.5,208925,
Silvio,movie,"Biography, Crime, Thriller",2024,tt9422624,3,519,
Erlauntza,movie,Comedy,2020,tt13329384,6.2,79,
"One Life",movie,"Biography, Drama, History",2023,tt13097932,7.5,34632,
"The Accidental President",movie,Documentary,2020,tt12920934,5.4,388,
Joyride,movie,"Comedy, Drama",2022,tt13515090,6.2,3233,
"Camera Café, la película",movie,Comedy,2022,tt12089564,4.7,912,
"I'm Not Telling You Anything, Just Sayin'",movie,"Comedy, Drama, Short",2020,tt13196388,6.7,38,
"Colin Quinn & Friends: A Parking Lot Comedy Show",movie,Comedy,2020,tt12970262,5.9,141,
"The Last Rifleman",movie,Drama,2023,tt12404266,6.6,3084,
"Space Launch Live: America Returns to Space",movie,News,2020,tt13265452,4.8,27,
Dangerous,movie,"Action, Thriller",2021,tt3876910,5.2,10720,
Tereza37,movie,Drama,2020,tt12794392,6.7,356,
"Hero Mode",movie,"Adventure, Comedy, Family",2021,tt10528948,4.5,1440,
"The Barbarians",movie,Thriller,2023,tt26812522,5.8,65,
"The City of Wild Beasts",movie,"Drama, Music",2021,tt14396058,6.3,108,
"Felix and the Hidden Treasure",movie,"Adventure, Animation, Family",2021,tt11231280,5.4,437,
"12th Man",movie,"Drama, Short, Sport",2020,tt11810050,6.9,11,
"A La Calle",movie,Documentary,2020,tt13013610,6.3,103,
"The Wreck",movie,Drama,2019,tt8293132,4.9,97,
"Alabama Snake",movie,"Crime, Documentary",2020,tt12837230,5.5,823,
"Blanes st and Muller",movie,"Comedy, Drama, Fantasy",2020,tt11236326,6.8,33,
"Parallel Mothers",movie,Drama,2021,tt12618926,7.1,38628,
"A Christmas for Mary",movie,"Drama, Romance",2020,tt13391592,5.8,198,US
"Si atunci, ce e libertatea?",movie,Drama,2020,tt2584702,6.8,215,
Ostrov,movie,Comedy,2023,tt26441345,5.1,324,
Shadowplay,movie,Thriller,2022,tt13563382,5.8,122,
Brothers,movie,"Action, Drama, History",2023,tt14232442,6.7,552,
"Vánocní príbeh",movie,Comedy,2022,tt13974122,5.3,148,
Missing,movie,"Drama, Mystery, Thriller",2023,tt10855768,7.1,67869,
"The Pit",movie,"Animation, Family",2020,,,,
"Jessica Chambers: An ID Murder Mystery",movie,Crime,2020,tt13399612,7.2,103,
"As Far as I Know",movie,Drama,2020,tt10073452,7,526,
"My Gift: A Christmas Special from Carrie Underwood",movie,Music,2020,tt13483104,6.4,165,
"9 povesti de dragoste si ura in izolare",movie,Drama,2020,tt12417762,5.1,93,
"Who Killed the Lyon Sisters?",movie,"Crime, Documentary",2020,tt13370308,7.4,121,
Jezabel,movie,"Crime, Thriller",2022,tt9339850,5.7,605,
"Easter Eggs",movie,"Animation, Drama, Short",2020,tt14135840,6.3,435,
Tina,movie,"Biography, Documentary, Music",2021,tt8399720,7.9,6544,
Demonic,movie,"Drama, Horror, Sci-Fi",2021,tt13392012,4.3,6492,
"Out of Death",movie,"Action, Crime, Thriller",2021,tt12528166,3.4,6288,
"At Last",movie,"Drama, Short",2020,tt11865728,6.8,88,"HN, NI, RS, TT"
"Llanto Maldito",movie,"Drama, Horror",2021,tt12448082,4.3,482,
Belle,movie,"Adventure, Animation, Drama",2021,tt13651628,7,19060,
Settembre,movie,"Comedy, Romance",2022,tt18272852,6.6,629,
"We're All Going to the World's Fair",movie,"Drama, Horror",2021,tt13648224,5.4,7877,
"In the Same Breath",movie,Documentary,2021,tt13648230,7.5,1931,
"Rebel Hearts",movie,Documentary,2021,tt13622250,6.9,169,
"When We Were Bullies",movie,"Documentary, Short",2021,tt13796488,5.4,1346,
"Mirreyes vs Godinez Home Office",movie,Comedy,2020,tt13616362,5.6,166,
"Women Talking",movie,Drama,2022,tt13669038,6.9,45911,
"Landscape with Invisible Hand",movie,"Comedy, Drama, Sci-Fi",2023,tt7645334,5.9,4129,
"One Billion Happy People",movie,Documentary,2011,tt2137181,6.7,39,
Inquietos,movie,,2020,,,,
"Looking for Venera",movie,Drama,2021,tt13886890,6.4,245,
"Under the Grapefruit Tree: The CC Sabathia Story",movie,Documentary,2020,tt13692182,7.2,279,
"Covid Diaries NYC",movie,Documentary,2021,tt14057586,4.3,215,
"LasseMajas detektivbyrå - Skorpionens gåta",movie,"Adventure, Comedy, Crime",2022,tt14667696,5.1,184,
"First Christmas",movie,Drama,2020,tt13159820,5.8,155,US
"Kentucky Murder Mystery: The Trials of Anthony Gray",movie,Documentary,2020,,,,
"German Lessons",movie,Drama,2020,tt13624962,6.3,229,
"Soul's Redemption: a Pocket Guide",movie,Drama,2018,tt8650146,6.7,72,MD
"No Festival: A Concert for No One",movie,"Documentary, Music",2020,tt12798264,9,83,
Inexorable,movie,Thriller,2021,tt12715472,6.1,1245,
"The Power of We: A Sesame Street Special",movie,"Family, Short",2020,tt13255046,6.3,34,
"Homeschool Musical: Class of 2020",movie,"Documentary, Musical",2020,tt12861470,6.5,29,
"The Butcher Baker: Mind of a Monster",movie,Documentary,2020,,,,
"Playmobil: Die Rettung der Dinosaurier",movie,"Animation, Family",2019,,,,
"Steve McQueen: The Lost Movie",movie,"Biography, Documentary, Sport",2021,tt12381962,6.6,294,
"Martin and the Magical Forest",movie,"Adventure, Family, Fantasy",2021,tt14252278,5,55,
"The Méliès Mystery",movie,"Biography, Documentary",2021,tt13710206,7.5,409,
"Gente de Zona: En Letra De Otro",movie,"Documentary, Music",2018,tt10048332,,,
"Holy Father",movie,Documentary,2020,tt12833692,7.5,354,
"Mix Up in the Mediterranean",movie,"Comedy, Romance",2021,tt13737848,6.3,1192,
"The Whale",movie,Drama,2022,tt13833688,7.6,246858,
EO,movie,Drama,2022,tt19652910,6.7,16088,
Promises,movie,Drama,2021,tt13846472,6.4,1091,
Ravine,movie,"Drama, Thriller",2021,tt10415684,5.8,195,
Wonka,movie,"Adventure, Comedy, Family",2023,tt6166392,7,177101,
"13 Minutes",movie,"Action, Drama, Thriller",2021,tt9274670,4.7,5973,
Oracle,movie,Horror,2023,tt13515258,4.8,1501,
"The Almond and the Seahorse",movie,Drama,2022,tt7326608,5.4,572,
"My Best Friend Anne Frank",movie,Drama,2021,tt10360772,6.3,6070,
"Fake Famous",movie,Documentary,2021,tt13890392,6.6,2292,
"Love in a Bottle",movie,"Comedy, Drama, Romance",2021,tt12725760,6.1,204,
"Other People",movie,"Drama, Music",2021,tt10376078,6.5,613,
"Cairo Conspiracy",movie,"Drama, Thriller",2022,tt15452062,6.9,8509,
"Revolution Rent",movie,Documentary,2019,tt7520176,6.8,173,
"Showing Up",movie,"Comedy, Drama",2022,tt13923216,6.3,6695,
"Bad Luck Banging or Loony Porn",movie,"Adult, Comedy, Drama",2021,tt14033502,6.5,11400,
Carroceros,movie,Documentary,2021,tt13712680,6.2,35,
"There Is No I in Threesome",movie,"Documentary, Drama",2021,tt8368380,5.6,1065,
"Phelps vs. Shark: Great Gold vs. Great White",movie,Documentary,2017,tt7182620,6.5,20,
"A Trip with Your Wife",movie,Comedy,2021,tt10044946,6.3,29,
"Expiration Date",movie,Comedy,2023,tt10749816,5.5,459,
"DC Showcase: Constantine - The House of Mystery",movie,"Animation, Fantasy, Horror",2022,tt18305072,6.3,3210,
"Zack Snyder's Justice League",movie,"Action, Adventure, Fantasy",2021,tt12361974,7.9,456266,
"Harvey Weinstein",movie,Documentary,2020,tt12326590,5.5,20,
"Letters to Santa 4",movie,Comedy,2021,tt13162484,5.1,595,
"Safer at Home",movie,"Crime, Drama, Horror",2021,tt13651858,3.8,4067,
Cube,movie,"Horror, Mystery, Sci-Fi",2021,tt13975458,4.5,2889,
"Mystery 101: Killer Timing",movie,Crime,2021,tt13582526,7.4,1005,
"When the Sun Sets",movie,"Drama, Short",2021,tt13819508,7.2,102,
"School of Magical Animals",movie,"Adventure, Family",2021,tt11455260,5.4,961,
Happening,movie,Drama,2021,tt13880104,7.4,13014,
"O.J. & Nicole: An American Tragedy",movie,"Crime, Documentary",2020,tt22035148,6.3,145,
"A Grand Romantic Gesture",movie,"Comedy, Romance",2022,tt10656794,6.4,151,
"The Fallout",movie,Drama,2021,tt11847410,7,39010,
"Introducing, Selma Blair",movie,Documentary,2021,tt14030526,7.8,1071,
"Lily Topples the World",movie,Documentary,2021,tt13963956,7.3,183,
"I'm Your Man",movie,"Comedy, Drama, Romance",2021,tt13087796,7.1,14218,
"Forest: I See You Everywhere",movie,Drama,2021,tt14033416,6.6,432,
"The Lost Sons",movie,Documentary,2021,tt14030624,7.3,273,
"The Seed",movie,"Drama, Thriller",2021,tt13892494,6.5,239,
"One Perfect Wedding",movie,"Drama, Romance",2021,tt10887358,6.1,890,
"My Uncle Tudor",movie,"Documentary, Short",2021,tt14135872,7.3,128,
"White Building",movie,Drama,2021,tt11813228,6.5,435,
Offseason,movie,"Drama, Fantasy, Horror",2021,tt11454320,4.9,2949,
"Martyrs Lane",movie,"Drama, Horror",2021,tt7413600,5.5,2342,
"Only for Tereza",movie,"Comedy, Romance",2021,tt13607498,5.2,150,
"Beau Is Afraid",movie,"Comedy, Drama",2023,tt13521006,6.6,71966,
"The Vaccine: Conquering Covid",movie,Documentary,2021,tt14026868,4.8,96,
Sister,movie,Drama,2021,tt12788426,6.6,537,
"The Naked City",movie,,2021,,,,
"Me Tira da Mira",movie,"Action, Adventure, Comedy",2022,tt14257960,4.1,132,
Pure,movie,"Drama, Short",2021,tt13859144,6.9,99,
"Maggie Moore(s)",movie,"Comedy, Crime, Mystery",2023,tt14181816,6.2,9188,
"Los buenos modales",movie,"Comedy, Drama",2023,tt13290130,6.2,410,
"Persona: The Dark Truth Behind Personality Tests",movie,Documentary,2021,tt14173880,5.6,918,
"The Last Cruise",movie,"Documentary, Short",2021,tt13415790,6.4,1618,
"Werewolves Within",movie,"Comedy, Horror, Mystery",2021,tt9288692,6,27373,
Kimi,movie,"Crime, Drama, Mystery",2022,tt14128670,6.3,41446,
"The Great Lillian Hall",movie,"Biography, Drama",2024,tt14260566,7.3,1974,
"Sidney Poitier: One Bright Light",movie,"Biography, Documentary, History",2000,tt0279411,7.7,163,
"¡A todo tren! Destino Asturias",movie,Comedy,2021,tt13150080,5.3,1428,
"Ticket to Paradise",movie,"Comedy, Drama, Romance",2022,tt14109724,6.1,78072,
"¡Viva Maestro!",movie,Documentary,2022,tt14153448,7.3,146,
"Valley of the Kings: The Lost Tombs",movie,Reality-TV,2021,tt14039628,6.6,134,
Gringa,movie,"Comedy, Drama, Sport",2023,tt8001026,6,862,
"Sharp Stick",movie,Comedy,2022,tt14158346,4.9,2577,
"8-Bit Christmas",movie,"Comedy, Family",2021,tt11540284,6.7,23743,
"Bob Marley: One Love",movie,"Biography, Drama, Music",2024,tt8521778,6.2,34879,
"The Hunt for Planet B",movie,Documentary,2021,tt13848014,6.6,211,
"The Grump: In Search of an Escort",movie,"Comedy, Drama",2022,tt14170162,6.2,817,
"Révolution Sida",movie,Documentary,2022,tt12916738,,,
"Ama Gloria",movie,Drama,2023,tt26255358,7,864,
"Every Breath You Take",movie,"Drama, Mystery, Thriller",2021,tt2231874,5.4,7715,
"Film o filmu V síti",movie,Documentary,2021,,,,
"Cocaine Bear",movie,"Comedy, Crime, Thriller",2023,tt14209916,5.9,120379,
"The Day Sports Stood Still",movie,"Documentary, Sport",2021,tt12363832,5.9,551,
"The Munsters",movie,"Comedy, Family, Fantasy",2022,tt14813212,4.5,12357,
Bubble,movie,"Comedy, Drama",2022,tt21876722,6.7,432,
"Good Night, Lily",movie,"Drama, Romance, Sci-Fi",2021,tt14136588,8.2,19,
"Petya of My Petya",movie,Drama,2021,tt10682414,7.3,1007,
"The Exorcist: Believer",movie,Horror,2023,tt12921446,4.8,46789,
"Boiling Point",movie,"Drama, Thriller",2021,tt11127680,7.5,50022,
"The Hummingbird",movie,Drama,2022,tt14589916,6.3,1794,
LFG,movie,"Documentary, Sport",2021,tt14375756,5.5,1048,
"Sand Dollar Cove",movie,"Comedy, Drama, Romance",2021,tt14549712,6.2,1453,
"Father Stu",movie,"Biography, Drama",2022,tt14439896,6.5,34107,
"You Had Me at Aloha",movie,"Drama, Romance",2021,tt14695276,6.4,1208,
"Guckkasten Live Concert: HAPPENING",movie,,2021,,,,
"Anatomy of a Czech Afternoon",movie,"Drama, Short",2020,tt12677602,6.2,57,
"Héroes de barrio",movie,Comedy,2022,tt14326062,5.2,191,
"Adam the First",movie,Drama,2024,tt14134062,5.9,603,
Julia,movie,"Biography, Documentary",2021,tt13782428,7.6,1309,
"Our Towns",movie,Documentary,2021,tt14330162,6.5,417,
"Sergio Mendes in the Key of Joy",movie,"Biography, Documentary, Music",2020,tt9891640,7.9,97,
"El cuartito",movie,"Comedy, Drama",2021,tt11683592,5.7,143,
Chevalier,movie,"Biography, Drama, History",2022,tt12758486,6.5,7672,
"Silent legacy (Tiho nasledstvo)",movie,Documentary,2021,tt14231406,8.2,40,
"Space Launch Live: Splashdown",movie,News,2020,tt12911188,3.2,7,
1618,movie,"Drama, History",2021,tt13307400,5.7,324,
"Architects of Ancient Arabia",movie,"Documentary, History",2021,,,,
"Amiröl a fák suttognak",movie,Documentary,2020,tt13819170,8.2,70,
#dogpoopgirl,movie,"Comedy, Drama",2021,tt14403262,6.8,570,
Bottoms,movie,Comedy,2023,tt17527468,6.7,52426,
"Wild Appalachia",movie,Documentary,2013,tt3041344,6.8,20,
"Lucy, the Human Chimp",movie,Documentary,2021,tt14091792,7.3,463,
Alimañas,movie,Comedy,2023,tt14443260,4.9,564,
Mummies,movie,"Adventure, Animation, Comedy",2023,tt23177868,5.9,9982,
"Just One Time",movie,Drama,2021,tt13606328,5.7,306,
Tár,movie,"Drama, Music",2022,tt14444726,7.4,103929,
"Golata istina za grupa Zhiguli",movie,"Comedy, Drama, Musical",2021,tt11744358,7.4,1439,
"GameStop: The Wall Street Hijack",movie,Documentary,2021,tt14439472,5.8,86,
"The Magic Flute",movie,"Adventure, Fantasy, Musical",2022,tt8206398,5.6,1703,
Memory,movie,"Action, Crime, Thriller",2022,tt11827628,5.7,39430,
Ritual,movie,Thriller,2022,tt14305564,6.1,987,
"A Cinderella Story: Starstruck",movie,"Comedy, Drama, Family",2021,tt14445134,5.5,1090,
"Lost Beasts of the Ice Age",movie,Documentary,2019,tt9784698,,,
"Paper & Glue",movie,"Biography, Documentary",2021,tt14488886,8.2,458,
"The Beast in the Jungle",movie,"Drama, Music",2023,tt19864472,5.4,535,
"Along Came Love",movie,"Drama, Romance",2023,tt16969006,6.5,845,
"The Good Boss",movie,"Comedy, Drama",2021,tt13066182,7.1,15666,
"Catch the Fair One",movie,"Crime, Thriller",2021,tt11304504,6.3,2630,
"Second Round",movie,"Drama, Short",2020,tt12564526,7.2,198,
"She Is Love",movie,"Comedy, Drama, Romance",2022,tt14507160,4.9,732,
Bull,movie,"Crime, Thriller",2021,tt13266998,6.5,9747,
"To Catch a Spy",movie,Mystery,2021,tt14500264,6.1,1345,
"The Legend of the Underground",movie,Documentary,2021,tt14495434,6.7,181,
"Princess Cut",movie,"Crime, Short",2020,tt11574640,5,60,
"A Choice of Weapons: Inspired by Gordon Parks",movie,Documentary,2021,tt14495394,7.6,314,
"The Grim Sleeper",movie,"Crime, Documentary",2021,tt15066686,7.2,44,
Tantrum,movie,Drama,2021,tt14461576,6.1,188,
Cracked,movie,"Drama, Short",2021,tt14175546,8.2,79,
"To Leslie",movie,Drama,2022,tt8129806,7.1,18784,
"The Baker",movie,"Action, Crime, Drama",2022,tt3917710,5.9,3468,
"The Boys in the Boat",movie,"Biography, Drama, Sport",2023,tt1856080,7,27960,
"Dream Scenario",movie,"Comedy, Drama, Fantasy",2023,tt21942866,6.8,85345,
"Out of Darkness",movie,"Horror, Thriller",2022,tt7527682,5.5,7340,
"How I Became a Partisan",movie,Documentary,2021,tt15539332,7.4,10,
"Kurz manzelské touhy",movie,"Comedy, Drama",2021,tt14204894,5.1,114,
Blacklight,movie,"Action, Drama, Thriller",2022,tt14060094,4.8,26851,
"When You Clean a Stranger's Home",movie,Drama,2020,,,,
"What Killed Maradona?",movie,"Biography, Documentary",2021,tt14140740,6.3,193,
"Generation Por Qué?",movie,Comedy,2021,tt14336298,6.9,53,
"Gina Brillon: Easily Offended",movie,Comedy,2019,tt10882944,5,55,
"The Murder of George Floyd: A Nation Responds",movie,Talk-Show,2020,tt12545976,2.1,82,
"L'Histoire secrète de la Résistance",movie,"War, History, Documentary",2021,,,,
"Por los pelos, una historia de autoestima",movie,Comedy,2022,tt13241688,4.5,408,
Fortress,movie,"Action, Thriller",2021,tt14577300,3.3,5988,
Help,movie,Drama,2021,tt13649036,7.6,12966,
"The Hotel",movie,Drama,2022,tt21998520,5.8,87,
"Nichols and May: Take Two",movie,"Biography, Documentary, History",1996,tt0323402,7.4,248,
"Ben Gen 10",movie,"Action, Adventure, Animation",2021,tt14422106,6.1,171,
#FBF,movie,"Drama, Family",2023,tt14433518,5.5,72,
"Dreamland: The Burning of Black Wall Street",movie,Documentary,2021,tt13450602,7.2,210,
Beast,movie,"Animation, History, Horror",2021,tt14825950,7,2076,
"The Venture Bros.: Radiant Is the Blood of the Baboon Heart",movie,Animation,2023,tt14636186,7.9,2598,
"Aqua Teen Forever: Plantasm",movie,"Animation, Comedy",2022,tt14636190,6.1,1664,
"Night Shift",movie,"Horror, Thriller",2023,tt13380324,5.4,3352,
"Natural Born Liar",movie,Comedy,2022,tt12754776,5.2,1439,
"Dana Gould",movie,"Comedy, Documentary",1995,tt1243456,6.9,17,
"Judy Gold",movie,"Comedy, Documentary",1995,tt1243464,5.5,17,
"Rebels @ School",movie,Comedy,2021,tt13323330,6.1,1913,
"Little Berlin",movie,"History, Short",2021,tt12801458,6.7,94,
"Bobcat Goldthwait",movie,"Comedy, Documentary",1995,tt1243453,6.5,28,
"The Miracle Club",movie,"Comedy, Drama",2023,tt12712604,6.4,7549,
"The Devil Wears Prada Live: ZII UNDEADSTREAM",movie,Music,2021,,,,
"Lyle, Lyle, Crocodile",movie,"Adventure, Comedy, Family",2022,tt14668630,6.1,16980,
"The Invitation",movie,"Horror, Thriller",2022,tt12873562,5.3,38228,
"Broken Harts",movie,Documentary,2021,tt14638362,6.9,356,
"Ride the Eagle",movie,"Comedy, Drama",2021,tt14673560,6.3,4364,
"A Fatal Confession: Keith Morrison Investigates",movie,Documentary,2019,tt10919952,7.6,26,
"Keith Morrison Investigates: Who Killed Angie Dodge?",movie,Crime,2017,tt7407230,7.6,15,
"We Love Puppies",movie,Comedy,2017,tt6442408,5.7,18,
"Moje slunce Mad",movie,"Animation, Drama",2021,tt14749948,6.7,538,
"Between Us",movie,"Drama, Thriller",2021,tt15331466,5.8,230,
"Surviving Harvey: Animals After the Storm",movie,News,2017,tt12228528,,,
"Super Hurricanes: Inside Monster Storms",movie,Documentary,2017,,,,
"The Eternal Moment",movie,Documentary,2022,tt13583466,7.6,61,
Americanish,movie,Comedy,2021,tt7632008,6.2,354,
"Scooby-Doo, Where Are You Now!",movie,"Animation, Family, Short",2021,tt15554066,6,241,
"The Slow Hustle",movie,"Crime, Documentary",2021,tt14810616,6.6,595,
"Teen Titans Go! See Space Jam",movie,"Action, Adventure, Animation",2021,tt14851194,4.6,1457,
"Nick Guerra: Love me at my worst",movie,,2020,,,,
"Shayla Rivera: It's Not Rocket Science",movie,Comedy,2020,,,,
"Love Tasting",movie,Drama,2020,tt13377804,5.9,472,
"Ben 10,010",movie,"Action, Adventure, Animation",2021,tt14317168,7.3,231,
"The Girl with the Golden Hands",movie,Drama,2021,tt15000346,5.4,123,
"Milan Kundera: From the Joke to Insignificance",movie,Documentary,2021,tt13875550,6.7,89,
"Confessions of Felix Krull",movie,"Comedy, Crime, Drama",2021,tt13256256,6.4,946,
"Reign of the Superwomen",movie,Documentary,2021,tt14703148,5.2,65,
Evolution,movie,Drama,2021,tt14776894,6.3,669,
"One Day",movie,Animation,2019,,,,
Homeland,movie,Drama,2023,,,,
Primera,movie,Documentary,2021,tt15021914,5.4,28,
"He Went That Way",movie,"Crime, Drama, Thriller",2023,tt14772014,5.1,1737,
"The Law of Love",movie,Documentary,2022,tt18282772,6.9,16,
"Saving One Who Was Dead",movie,Drama,2021,tt12428506,5.2,33,
"The Devil Made Me Do It",movie,"Documentary, Drama, Fantasy",2021,tt14453042,6.9,107,
Germophobia,movie,Reality-TV,2021,tt14811182,6.7,11,
"The Perfect Dinner",movie,"Comedy, Drama",2022,tt15213704,6.4,897,
"May December",movie,Drama,2023,tt13651794,6.8,69040,
"Me contro Te - Il film: Persi nel tempo",movie,"Comedy, Family",2022,tt16899302,2.2,135,
"Lord of the Ants",movie,"Biography, Drama",2022,tt14575898,6.7,1422,
Scarlet,movie,"Drama, History, Romance",2022,tt14212090,6.6,1188,
"Crashing Through the Snow",movie,"Comedy, Drama, Romance",2021,tt14809392,7.1,1642,
"Love, for Real",movie,"Comedy, Romance",2021,tt14885506,6.5,858,
"The Storied Life of A.J. Fikry",movie,"Comedy, Drama",2022,tt10643926,6.7,3928,
"Mortal Kombat Legends: Battle of the Realms",movie,"Action, Adventure, Animation",2021,tt14901058,6.5,8744,
"Echoes of a Crime",movie,"Mystery, Thriller",2022,tt15017554,4.9,715,
"My Name Is Bulger",movie,Documentary,2021,tt14818156,5.8,50,
"Garbage Theory",movie,"Comedy, Sci-Fi",2021,tt14799508,4.9,416,
"Jerry and Marge Go Large",movie,"Biography, Comedy, Drama",2022,tt8323668,6.9,30739,
"Space Oddity",movie,"Comedy, Romance, Sci-Fi",2022,tt6317762,5.5,1703,
"Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog",movie,"Adventure, Animation, Comedy",2021,tt14903892,6.3,2938,
"My Father Is an Airplane",movie,Drama,2021,tt11570318,6.5,663,
"Deconstructing the Beatles' A Hard Days Night",movie,Documentary,2021,,,,
"Dionne Warwick: Don't Make Me Over",movie,"Biography, Documentary, Music",2021,tt6170406,7.7,362,
Jagged,movie,"Biography, Documentary, Music",2021,tt14911244,7.3,1928,
"The Unlikely Pilgrimage of Harold Fry",movie,Drama,2023,tt14097206,6.8,5769,
"The Judgement",movie,"Biography, Crime, Drama",2021,tt6851410,7.3,2039,
Fin,movie,Documentary,2021,tt14921098,7.8,477,
"Bird Atlas",movie,Drama,2021,tt14878420,6,123,
"Oscar Micheaux: The Superhero of Black Filmmaking",movie,"Biography, Documentary, History",2021,tt14983798,7.1,219,
"The Three Musketeers - Part II: Milady",movie,"Action, Adventure, Drama",2023,tt12672620,6.4,10704,
"Life Afterlife",movie,Documentary,2000,tt0245232,6.8,53,
"Murder in Ypsilanti: Keith Morrison Investigates",movie,Crime,2020,tt13399630,6.9,22,
"Yellowstone Supervolcano: American Doomsday",movie,Documentary,2021,tt15326918,6.7,95,
"Burn All My Letters",movie,"Biography, Drama, History",2022,tt14909314,6.2,1779,
"Scattering Dad",movie,Drama,1998,tt0132495,5.1,99,
"Povídky z Princezny zakleté v case",movie,Family,2021,tt24789356,,,
"Say Yes Again",movie,Romance,2021,tt15677260,6.1,54,
"Love, Dad",movie,"Animation, Documentary, Short",2021,tt14972316,7.1,175,
"Faking It: Ted Bundy",movie,"Documentary, Crime",2021,,,,
"How Do You Measure a Year?",movie,"Documentary, Short",2021,tt15026956,6.9,1335,
"The Balcony Movie",movie,Documentary,2021,tt15180952,7.5,1347,
"Mega Predators of Oz",movie,Reality-TV,2021,tt14167892,6.2,19,
"Crime Story",movie,"Crime, Drama, Thriller",2021,tt9804272,4,1550,
"The 27-Hour Day",movie,"Comedy, Romance",2021,tt14632158,6.7,1645,
"Mystery 101: Deadly History",movie,"TV Movie, Crime, Mystery",2021,tt14951396,7.2,1000,
"Mass Ave",movie,"Drama, Short",2021,tt12623314,6.3,100,
"This Is Not a War Story",movie,"Drama, War",2021,tt7384402,5.5,146,
"The Kings of the World",movie,"Adventure, Drama",2022,tt15399372,7,2643,
Firebrand,movie,"Drama, History",2023,tt15000156,6.3,5483,
"Woodstock 99: Peace Love and Rage",movie,"Documentary, Music",2021,tt15004156,7.1,8379,
"The Beasts",movie,"Drama, Thriller",2022,tt15006566,7.5,23001,
"Days of Happiness",movie,Drama,2023,tt19860724,6.5,370,
"A Little Daytime Drama",movie,"Comedy, Romance",2021,tt14833702,6.4,1229,
"Sweet Pecan Summer",movie,"Comedy, Drama, Family",2021,tt15202038,6.3,1027,
"Three Nights a Week",movie,"Comedy, Drama, Romance",2022,tt21431680,6.2,456,
"Jackass Shark Week",movie,"Action, Comedy, Reality-TV",2021,tt15074168,5.2,636,
"The Iron Claw",movie,"Biography, Drama, Sport",2023,tt21064584,7.6,105166,
