title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,252845,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,473075,
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,tt0069293,7.9,102004,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1340209,
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,837983,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,822561,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2157238,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,652385,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,561124,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,640427,
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,419161,
Poltergeist,movie,"Horror, Thriller",1982,tt0084516,7.3,188192,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247307,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,120614,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,489387,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136424,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,154053,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,470779,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,314884,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,363010,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1190475,
"The Wizard of Oz",movie,"Adventure, Family, Fantasy",1939,tt0032138,8.1,450914,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,278208,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1166157,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,63405,
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,29063,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,51657,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,593895,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,131617,
"The Tin Drum",movie,"Drama, War",1979,tt0078875,7.4,26967,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15584,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,244370,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,263665,
"Nanook of the North",movie,Documentary,1922,tt0013427,7.6,13971,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,679817,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,904759,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,729920,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,729887,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,718012,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,666935,
Aliens,movie,"Action, Adventure, Horror",1986,tt0090605,8.4,809378,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2336631,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,303572,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,93089,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,295544,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1167486,
"A Hard Day's Night",movie,"Comedy, Musical",1964,tt0058182,7.5,49717,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,528673,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115957,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,619383,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1215613,
Faces,movie,Drama,1968,tt0062952,7.4,12342,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,355901,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,628547,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1327086,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,346634,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58570,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,21174,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21736,
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,65099,
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997,tt0119177,7.7,336168,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16594,
"Almost Famous",movie,"Adventure, Comedy, Drama",2000,tt0181875,7.9,304452,
"Blue Velvet",movie,"Crime, Drama, Mystery",1986,tt0090756,7.7,232216,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131600,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136271,
"Night and Fog",movie,"Documentary, History, Short",1956,tt0048434,8.6,22641,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1913002,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,773998,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,531672,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,347839,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256359,
"Austin Powers in Goldmember",movie,"Action, Adventure, Comedy",2002,tt0295178,6.2,229077,
"The Music Room",movie,"Drama, Music",1958,tt0051792,7.8,7075,
Diabolique,movie,"Crime, Drama, Horror",1955,tt0046911,8.1,71529,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,177262,
"Umberto D.",movie,Drama,1952,tt0045274,8.2,29659,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,225563,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,177309,
"Brief Encounter",movie,"Drama, Romance",1945,tt0037558,8,46591,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,447438,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,440115,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,198841,
"Dangerous Liaisons",movie,"Drama, Romance",1988,tt0094947,7.5,77669,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.6,214867,
"Singin' in the Rain",movie,"Comedy, Musical, Romance",1952,tt0045152,8.3,272813,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,101044,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,282605,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69238,
"All the President's Men",movie,"Drama, History, Thriller",1976,tt0074119,7.9,131250,
"The World of Apu",movie,Drama,1959,tt0052572,8.4,17657,
Aparajito,movie,Drama,1956,tt0048956,8.2,16844,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,207142,
"Cool Hand Luke",movie,"Crime, Drama",1967,tt0061512,8,194366,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12477,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,30027,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,248939,
Bullitt,movie,"Action, Crime, Thriller",1968,tt0062765,7.4,78918,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106221,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,281431,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,262119,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,117081,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208808,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,59313,
"The Lady Vanishes",movie,"Crime, Drama, Mystery",1938,tt0030341,7.7,59466,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,286870,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,195649,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183985,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176780,
"Ice Age: The Meltdown",movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,308079,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169361,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,458856,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,491670,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,393957,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,406193,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,124017,
Spartacus,movie,"Adventure, Biography, Drama",1960,tt0054331,7.9,148015,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,161935,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,175236,
Eraserhead,movie,"Fantasy, Horror",1977,tt0074486,7.3,137273,
"Chimes at Midnight",movie,"Comedy, Drama, History",1965,tt0059012,7.6,10717,
"The Mortal Storm",movie,Drama,1940,tt0032811,7.7,6493,
Stagecoach,movie,"Adventure, Drama, Western",1939,tt0031971,7.8,56599,
"Double Indemnity",movie,"Crime, Drama, Film-Noir",1944,tt0036775,8.3,174975,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,407392,
Sommersby,movie,"Drama, Mystery, Romance",1993,tt0108185,6.3,24008,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,44053,
"Elevator to the Gallows",movie,"Crime, Drama, Thriller",1958,tt0051378,7.9,30243,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1515808,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,79027,
Princesses,movie,Drama,2005,tt0434292,6.9,5820,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117781,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88792,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,119182,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173799,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138639,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123974,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138354,
300,movie,"Action, Drama",2006,tt0416449,7.6,891374,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70871,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113826,
"A Brief History of Time",movie,"Biography, Documentary",1991,tt0103882,7.3,6057,
"The Return of the King",movie,"Adventure, Animation, Family",1980,tt0079802,5.7,5234,
